URN,schname,pcode_fixed,latitude,longitude
134909,3 Dimensions,TA20 3AJ,50.88893,-2.975789
148840,A.R.T.S. Education,WA11 8HR,53.506642,-2.794582
147064,ACE Tiverton Special School,EX16 5HB,50.899261,-3.494903
149157,ADO River Valley School,DA16 3NB,51.471633,0.093983
147536,AIM Academy North London,N9 8DQ,51.633774,-0.04588
119836,AKS Lytham,FY8 1DT,53.74084,-3.010122
139559,ALP Leicester,LE4 4JG,52.684059,-1.12156
149202,ALP Sittingbourne,ME10 4HE,51.330995,0.732265
145949,APTCOO - A Place to Call Our Own,NG22 9EX,53.224058,-1.076223
142779,ASPIRE: Lifeskills,LE11 3EB,52.771749,-1.206055
136083,Abbey College Cambridge,CB2 8EB,52.186309,0.133764
105601,Abbey College Manchester,M2 4WG,53.481368,-2.244102
117035,Abbey College in Malvern,WR14 4JF,52.072483,-2.332949
137377,"Abbey College, Ramsey",PE26 1DG,52.447376,-0.09755
119052,Abbey Court Foundation Special School,ME2 3SP,51.401787,0.476562
111484,Abbey Gate College,CH3 6EN,53.151574,-2.833572
137083,Abbey Grange Church of England Academy,LS16 5EA,53.833945,-1.60856
139974,Abbey Hill Academy,TS19 8BU,54.581567,-1.343362
124500,Abbey Hill School and College,ST3 5PP,52.980084,-2.107669
145744,Abbey Park School,SN25 2ND,51.603605,-1.818787
142768,Abbey School,S61 2RA,53.436264,-1.405579
147951,Abbey School for Exceptional Children,CH1 2HU,53.192,-2.892
131969,Abbeyfield School,SN15 3XB,51.451967,-2.092687
138858,Abbeyfield School,NN4 8BU,52.215545,-0.903678
139067,Abbeywood Community School,BS34 8SF,51.5128,-2.550134
146571,Abbeywood School,S66 8QN,53.429,-1.244
124449,Abbot Beyne School,DE15 0JL,52.807491,-1.612792
117600,Abbot's Hill School,HP3 8RP,51.729074,-0.444343
104736,Abbot's Lea School,L25 6EE,53.381043,-2.88166
148006,Abbot's Way School,BA6 9SR,51.170722,-2.786638
113003,Abbotsholme School,ST14 5BS,52.944425,-1.825475
136663,Abbs Cross Academy and Arts College,RM12 4YB,51.553244,0.208184
148419,Abigail's Place,WR5 1RS,52.18393,-2.15328
134911,Abingdon House School,NW1 6LG,51.523942,-0.166342
123312,Abingdon School,OX14 1DE,51.672989,-1.288396
150009,Abraham Moss Community School,M8 5UF,53.512413,-2.23564
135822,Abrar Academy,PR1 1NA,53.769928,-2.704782
132750,Abu Bakr Al-Ihsaan Academy,WS1 4JJ,52.57573,-1.991029
135483,Abu Bakr Boys School,WS1 4JJ,52.57573,-1.991029
145477,Academy 360,SR4 9BA,54.897153,-1.443989
139290,Academy@Worden,PR25 1QX,53.693962,-2.710206
132772,Access School,SY4 3EW,52.821157,-2.751804
135649,Accrington Academy,BB5 4FF,53.761462,-2.372398
137421,Accrington St Christopher's Church of England High School,BB5 4AY,53.761204,-2.377371
145774,Acklam Grange School,TS5 8PB,54.544064,-1.260723
108300,Ackworth School,WF7 7LT,53.649536,-1.334989
100053,Acland Burghley School,NW5 1UJ,51.557396,-0.140287
138758,Acle Academy,NR13 3ER,52.642196,1.541285
135066,Acorn Park School,NR16 2HU,52.455834,1.043865
135773,Acorn School,EX19 8EY,50.862465,-3.954588
131551,Acorns School,SK6 7NN,53.392641,-2.065703
145462,Act Fast NL Ltd,DN17 3PS,53.540062,-0.683458
142672,Active Support Education Centre,LU3 1RJ,51.89241,-0.436195
145724,Ada Lovelace Church of England High School,W5 2JX,51.519268,-0.295317
123602,Adcote School for Girls,SY4 2JY,52.769291,-2.863357
100748,Addey and Stanhope School,SE14 6TJ,51.474883,-0.02749
110187,Addington School,RG5 3EU,51.45295,-0.917996
147874,Addington Valley Academy,CR0 9AZ,51.357839,-0.023045
148641,Adelaide Heath Academy,WA16 8PA,53.305922,-2.351372
140457,Adelaide School,CW1 3DT,53.102231,-2.448255
140697,Admiral Lord Nelson School,PO3 5XT,50.818169,-1.051292
142136,Aegir - A Specialist Academy,DN21 1PB,53.408812,-0.755693
134469,Afifah School,M16 9GN,53.462049,-2.262622
140036,Ahavas Torah Boys Academy,M6 6AR,53.492742,-2.276256
125814,Aidenswood School,CW12 4ED,53.162509,-2.222993
136613,Airedale Academy,WF10 3JU,53.721391,-1.309988
110536,Akeley Wood Senior School,MK18 5AE,52.031485,-0.99505
147690,Al Hikmah Boys School,LU4 9LE,51.900082,-0.470682
119856,Al Islah Girls' High School,BB1 1TF,53.7439,-2.469449
130285,Al Jamiah Al Islamiyyah,BL3 4HE,53.566803,-2.458229
130274,Al Kauthar Girls Academy,LS7 4JE,53.823306,-1.531124
136746,Al Madina School for Girls,IG11 8PY,51.543918,0.075754
134429,Al Mumin Primary and Secondary School,BD8 7DA,53.80567,-1.762719
146729,Al Risalah Boys' School,SW17 7TJ,51.431908,-0.163786
101090,Al Risalah Secondary School,SW17 7TJ,51.431908,-0.163786
134809,Al-Aqsa Schools Trust,LE5 4PP,52.636036,-1.090694
115810,Al-Ashraf Secondary School for Girls,GL1 4AW,51.861065,-2.236111
134034,Al-Burhan Grammar School,B11 3DW,52.445174,-1.836324
134585,Al-Khair School,CR0 6BE,51.379107,-0.089208
147027,Al-Khair Secondary Girls,CR0 6BE,51.379107,-0.089208
136955,Al-Madani Girls School,SL1 5PR,51.520318,-0.63769
145416,Al-Madani Independent Grammar School,SL1 6FE,51.521518,-0.649647
131122,Al-Mahad Al-Islami,S9 5FP,53.390433,-1.414336
101576,Al-Sadiq School,NW6 6TP,51.539084,-0.210465
147025,Al-Zahra School,NW6 6PF,51.539689,-0.209446
138544,Albany Academy,PR7 3AY,53.64381,-2.620933
137172,Alcester Academy,B49 6QQ,52.220382,-1.855945
136622,Alcester Grammar School,B49 5ED,52.218182,-1.874718
146736,Alchemy School,ME9 9SN,51.32951,0.804532
141236,Alde Valley Academy,IP16 4BG,52.203208,1.585502
134283,Alder Community High School,SK14 5NJ,53.440784,-2.064799
119722,Alder Grange School,BB4 8HW,53.708295,-2.284879
136994,Alderbrook School,B91 1SN,52.406178,-1.797308
149364,Aldercar High School,NG16 4HL,53.025452,-1.341746
111478,Alderley Edge School for Girls,SK9 7QE,53.305096,-2.238247
115825,Alderman Knight School,GL20 8JJ,51.99632,-2.127484
145089,Alderman Peel High School,NR23 1RB,52.949366,0.8516
138832,Alderman White School,NG9 3DU,52.926774,-1.240572
139138,Aldersley High School,WV8 1RT,52.617816,-2.162992
113021,Alderwasley Hall School,DE56 2SR,53.075999,-1.513858
116234,Alderwood School,GU12 4RZ,51.247943,-0.743714
137974,Aldridge School - A Science College,WS9 0BG,52.597068,-1.925609
146303,AldridgeUTC@MediaCityUK,M50 2UW,53.475373,-2.296408
116427,Aldworth School,RG22 6HA,51.25374,-1.115123
139402,Alec Hunter Academy,CM7 3NR,51.872258,0.575716
134369,Alec Reed Academy,UB5 5LQ,51.544,-0.384
137531,Alexandra Park School,N11 2AZ,51.602063,-0.136263
113040,Alfreton Park Community Special School,DE55 7AL,53.09485,-1.396447
137934,Alfriston School,HP9 2TS,51.627382,-0.655262
139139,All Hallows Catholic College,SK11 8LB,53.255363,-2.141486
119802,All Hallows Catholic High School,PR1 0LN,53.73894,-2.741403
125315,All Hallows Catholic School,GU9 9HF,51.234714,-0.775057
131512,All Hallows RC High School,M6 8AA,53.490531,-2.315324
135946,All Saints Academy Dunstable,LU5 5AB,51.896113,-0.529635
